question,expected_ans,predicted_ans,article_id,matched_articles,pass_fail,reason,brand,ans_exp_5,cited_new,matched_article_new
How do I stop pay a refund check?,"1.	Review When would a refund check be voided?
2.	Verify that the check has not been cashed.  See How to Check the Status of a Refund Check
	Refund was cashed:  It cannot be voided. 
	Refund was not cashed:  Proceed to step 3
3.	For a reissue:
	Verify that it has been 10 business days since issued and the insured still has not received it.
4.	Advise the caller not to cash the original if received and document the policy
	Document the SR rather than the Void/Stop Form
	Note:  This documentation is required even when the insured states the check is damaged, was not received, or lost.  
5.	Complete BW Void/Stop Payment Request form in SRM.  Note:  If there are multiple checks to be voided, one void/stop form is sufficient.  Document the additional check numbers in the Other Special Instructions section.
	Choose ""Returned Premium- Re-Apply"" to reapply refund to policy
o	If the policy is to be reinstated due to accepting a payment less than what was required, document the request or follow up on the policy to verity it has been reinstated.
	Choose ""Returned Premium-  Re-Issue"" to reissue and enter correct address to send to.
	Issuing to a new address:
o	Add diary comment to AS400 with new address
	Address or Name on check is requested to be updated:
o	Confirm in notes it has not already been edited by finance (address/name edits are not always reflected on the Check Number Assigned Screen; but will be in diary comments.)
o	When the refund is issuing the same and the payment needs to be transferred but ""transfer"" cannot be hit to transfer the funds, submit a Void/Stop form.  In the event the refund check number has not generated yet, submit a Billing Action Needed form and Expedite the request. 
	How to Reapply a Same Day Refund to a Policy
	Add special instructions to include confirmation original has not cleared and the insured will be advised not to cash if received.
6.	Add diary comment to include advising not to cash original, that it has been verified as not having cleared
7.	Refer SR
8.	Process can take 1-2 business days
	How long does it take to void and reissue a refund check?
"," To stop payment on a refund check, you will need to: 

1. Advise the agent or named insured not to attempt to cash the original check. 
2. Process Void Stop pay request via Mellon Bank. 
3. Process void via AS400. 
4. Diary comment policy: ""Processed Void Stop Pay request to ReIssue refund to NI"". 
5. Save Word document screen shots to shared Z drive: Operations/Accounting Services/Accounting Services/Void check_Stop pay/2Void Stop Pays/Year void stop pays/month void stop pays 
",kaD4T000000Cnw2UAC,"kaD4T000000Co6nUAC
kaD4T000000XhogUAC
kaD4T000000CnsjUAC",Fail,"Unable to find Target Article; Article is about ""Void Stop Pay request for a previously issued refund check to be reapplied to the policy."". Also skipped points when summarizing",Bristol West,foobar,"[('kaD4T0000004bTsUAI', 2.5), ('kaD4T000000CnsjUAC', 0.5), ('kaD4T000000Co26UAC', 0.5), ('kaD4T000000XhogUAC', 0.3333333333333333)]","[('kaD4T000000XmkbUAC', 3.1666666666666665), ('kaD4T0000004bTsUAI', 2.75), ('kaD4T000000Co6nUAC', 1.6666666666666665), ('kaD4T000000CnsjUAC', 1.0), ('kaD4T0000008XELUA2', 1.0)]"
Is a vehicle with a class plate eligible based on vehicle use?,No," 
I cannot determine the answer to that due to lack of context.
",kaD4T000000PKwPUAW,kaD4T000000PKrKUAW,Fail,Unable to find Target Article; nan,Farmers HI,foobar,"[('kaD4T000000TNKCUA4', 1.6666666666666665), ('kaD4T000000TNT5UAO', 1.0), ('kaD4T000000PKrKUAW', 0.2)]","[('kaD4T000000bv45UAA', 2.6666666666666665), ('kaD4T000000TNKCUA4', 1.8666666666666665), ('kaD4T000000PKwPUAW', 1.5), ('kaD4T000000PLGKUA4', 1.2833333333333332), ('kaD4T000000PKoGUAW', 1.0)]"
What is the Replacement Bill Format?,"Replacement Bill Format
1.	The date the replacement bill is produced appears in the upper right corner.
2.	Statement of Account:
a.	The date on which the original bill was produced appears in the ""Statement Of Account As Of XX/XX/XX"" heading.
b.	Current Balance is the only entry appearing in the Statement of Account section of the replacement bill and is the balance as of the date of the last bill.
3.	Schedule of Payments: Only the Due Date and the Amount of the bill being replaced displays in the schedule of payments. A schedule of any remaining installments does not display.
4.	Messages: Other than processing fee and state fees messages, only one message appears on the replacement bill. If the bill is a reproduction of an earned premium bill, the following message displays:  
5.	If the bill is a reproduction of an earned premium bill, the following message displays:
""This is a reproduction of the billing statement issued on XX/XX/XX. The amount due represents the unpaid premium for coverage provided by your recently canceled policy. Please pay this amount immediately. Any remaining balance will be referred to a collection agency. If you have any questions regarding this notice, please call 1-800-422-4272.""
 
In all other cases, the following message appears on the replacement bill:
 
""This is a reproduction of the billing statement issued on XX/XX/XX. This statement does not supersede any cancellation notice issued since that date.""
6.	The Minimum Payment and Payment In Full amounts are the same amounts which appeared on the original bill now being replaced.
 
 
 ",The Replacement Bill format is a Free Form Line.,kaD4T000000XZwfUAG,kaD4T000000XZwfUAG,Fail,Wrong Summarization within Article; Picked wrong section.,FWS,foobar,"[('kaD4T000000XZwfUAG', 3.0)]","[('kaD4T000000XZwfUAG', 5.0), ('kaD4T000000TPWeUAO', 1.5), ('kaD4T000000Xk1aUAC', 1.0333333333333332), ('kaD4T000000PNcwUAG', 0.5333333333333333), ('kaD4T0000004dHVUAY', 0.5333333333333333)]"
Does the FWS Retention team support A360?,Any variation of No," No, the FWS Retention team only supports ARS policies at this time. ",kaD4T000000bvqLUAQ,kaD4T000000PMehUAG,Fail,Unable to find Target Article; Answer is not there in the article picked,FWS,foobar,"[('kaD4T000000PMehUAG', 1.0)]","[('kaD4T000000PMehUAG', 2.0), ('kaD4T000000bvqLUAQ', 1.0), ('kaD4T000000XbyiUAC', 0.5833333333333333), ('kaD4T00000004kwUAA', 0.3333333333333333), ('kaD4T000000PMgnUAG', 0.25)]"
Will payment return NFS if authorization is revoked?,Yes," Yes, payment will return NSF if authorization is revoked as per the policy ""We will not email out to insured/agent for replacement payments on payments with Hard Return code
reasons.If payments show posted; not charged and no attempt was made to draft in PaymentsHub, PSO
will review previous payments for Hard Return Codes. If found, PSO will terminate EFT and send
payment to be NSFd with no fee if it is aging. (Example: reviewing report on 7/28 and payment was
from 6/28).""",kaD4T000000CnxNUAS,"kaD4T000000PODPUA4
kaD4T000000bsgCUAQ",Fail,"Unable to find Target Article; Article is about ""Can a policy be renewed with a lapse if it cancelled PRC?"", doe not talk about the revoked authorization",Bristol West,foobar,"[('kaD4T000000CnxNUAS', 1.0), ('kaD1L0000004CWMUA2', 0.7), ('kaD4T000000bsgCUAQ', 0.2)]","[('kaD4T000000PODPUA4', 3.583333333333333), ('kaD4T000000CnxNUAS', 2.0), ('kaD1L000000PQRTUA4', 1.0), ('kaD4T000000Co46UAC', 0.8999999999999999), ('kaD1L0000004CWMUA2', 0.7)]"
Can advoctates combine muliple submission into one for apprval ?,"No, Service Advocates are not able to combine multiple submissions, emailed by the agent for Submit For Approval, into one. It is not possible. In addition, documents sent in for Submit For Approval must be all attached to one email. "," Yes, an advocate can combine multiple submissions into one for approval. 
How to combine multiple submissions: Find alternate policyAsk if we have a signed request to cancel, if
soEndorse the policy that will remain with driver and vehicleSubmit endorsement
Review premium differenceComment as usual
Cancel the other policy
Comment as usual, including the policy number this was transferred to",kaD4T0000008W5IUAU,kaD4T0000008W5IUAU,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008W5IUAU', 5.0), ('kaD4T000000XnjKUAS', 1.5), ('kaD4T0000008W3HUAU', 0.3333333333333333)]","[('kaD4T0000008W5IUAU', 5.0), ('kaD4T000000XnjKUAS', 2.5), ('kaD4T0000008W3HUAU', 0.8666666666666667), ('kaD4T0000008VYnUAM', 0.7), ('kaD4T0000008o7JUAQ', 0.5333333333333333)]"
What do I do if the caller only has a claim number?,"If granted access to Guidewire ClaimCenter continue process below, otherwise contact EST Team.

1. Login to Guidewire ClaimCenter via http://claimcenter.farmersinsurance.com/cc/ClaimCenter.do
2. On the right side of the screen under the Claims tab, select ""Simple Search.""
3. Input the provided claim number in the ""Claim #"" Field.
4. Select ""Search."""," If the caller only has a claim number, you can locate the insured information by following these steps:

1. Login to Guidewire ClaimCenter via http://claimcenter.farmersinsurance.com/cc/ClaimCenter.do
2. On the right side of the screen under the Claims tab, select ""Simple Search.""
3. Input the provided claim number in the ""Claim #"" Field.
4. Select ""Search.""",kaD4T0000008UZuUAM,kaD4T0000008UZuUAM,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008UZuUAM', 1.5333333333333332)]","[('kaD4T000000L4DjUAK', 4.0), ('kaD4T0000004fl4UAA', 2.333333333333333), ('kaD4T0000008UZuUAM', 1.5333333333333332), ('kaD4T000000XnjyUAC', 1.25), ('kaD4T0000008kd2UAA', 0.7)]"
What is the Billing Code for a Renewal Policy?,20,023 is the billing code for a renewal policy,kaD4T0000004M94UAE,kaD4T0000004M94UAE,Pass,nan; nan,FWS,foobar,"[('kaD4T0000004M94UAE', 1.0)]","[('kaD4T000000HEwiUAG', 3.033333333333333), ('kaD4T0000004M94UAE', 3.0), ('kaD4T0000004FkmUAE', 1.9166666666666665), ('kaD4T000000Xd2nUAC', 1.3333333333333333), ('kaD4T000000XiWbUAK', 0.7)]"
How do I convert a file to PDF?,"1.	Send yourself an email from SRM (we'll use it in step 6)
2.	Click on JPG entry, then click on Print 
3.	Click on :Destination"" and choose  ""Save as PDF"" (this option is located under Print Destination)
4.	Click on Save
5.	Choose where you would like to save the document (desktop, for example)
6.	Attach the PDF to the email you sent yourself
7.	In just moments the attachments/documents will appear (go back to SRM, Details tab, scroll to find)
8.	Complete the document transfer to EDMR 
	How to archive documents to EDMR
"," To convert a file to PDF, follow these steps:

1. Open the file you want to convert.
2. Click on the ""File"" menu and select ""Print"".
3. In the ""Print"" dialog box, select ""Adobe PDF"" as the printer.
4. Click on the ""Print"" button.
5. In the ""Save As"" dialog box, select a location to save the PDF file and click on the ""Save"" button.",kaD4T0000008UtEUAU,"kaD4T000000PMt0UAG
kaD4T000000HGJ0UAO",Fail,Unable to find Target Article; nan,Farmers Specialty Auto,foobar,"[('kaD4T000000PMt0UAG', 1.8333333333333333), ('kaD4T0000008UtEUAU', 1.0), ('kaD4T000000HGJ0UAO', 0.75), ('kaD4T0000008bsOUAQ', 0.25)]","[('kaD4T0000008UtEUAU', 5.0), ('kaD4T000000PMt0UAG', 2.1666666666666665), ('kaD4T000000HGJ0UAO', 1.3333333333333333), ('kaD4T000000HGEzUAO', 0.75), ('kaD4T0000008bsOUAQ', 0.65)]"
Can I contact customer without PEWC during renewal?,"Prior Express Written Consent (PEWC) will allow us to contact customers during the renewal window.

If a customer has not already provided Prior Express Written Consent (PEWC), we will send an email every year asking for policyholders to sign the PEWC form.  The policy will include a comment for this (automated comment will be different when this process is finalized)."," Yes, you can contact the customer without PEWC during renewal. 
According to the context, ""Updating The Renewal"",  ""When clicking Save Preference on the Policy Preference screen, if a renewal exists, the user will receive
the following pop up asking if they would like to update the renewal policy.
Click OK to update the renewal.Click CANCEL to change only the current term."" 
This means that the customer can be contacted during renewal if they have opted to update the renewal policy. ",kaD4T000000H6tXUAS,kaD4T000000HDTpUAO,Fail,Wrong Summarization within Article; Article has different answer. ,Farmers HI,foobar,"[('kaD4T000000HDTpUAO', 1.5)]","[('kaD4T000000HDTpUAO', 4.5), ('kaD4T000000H6tXUAS', 2.333333333333333), ('kaD4T000000PLIfUAO', 2.0), ('kaD4T000000PKvlUAG', 0.7333333333333334), ('kaD4T000000PGH3UAO', 0.5)]"
How to access flood information from ADE ?,"At the top of the Farmers Dashboard, click the Personal tab
Note: Another window will open. You will need to click the X on the Critical Notifications window.
Click the Flood tab on the lower section of the screen
Choose from the links provided to obtain the needed information
"," To access flood information from ADE, you can use the following steps:

1. Go to the ADE website.
2. Click on the ""Flood"" tab.
3. Select the type of flood information you are looking for.
4. Enter the required information.
5. Click on the ""Search"" button.
6. The results will be displayed on the screen.",kaD4T0000004fNIUAY,kaD4T0000004fNIUAY,Partial Pass,Incomplete Answer; Skipped first step,Specialty,foobar,"[('kaD4T0000004fNIUAY', 3.5)]","[('kaD4T0000004fNIUAY', 4.5), ('kaD4T000000XjOOUA0', 2.0), ('kaD4T000000Xmi8UAC', 1.5833333333333333), ('kaD1L000000Gt1XUAS', 0.75), ('kaD1L000000Gt4CUAS', 0.7333333333333334)]"
What is the ARS Retention Transfer Process?| How do I transfer a customer to the retention team?,"Vendor:
Use the Retention transfer number provided. 
GPC 017/Mercer
Send calls to Mercer at 800-999-6642. The Retention Team is not authorized to service Mercer policies.
Internal:
Use the internal phone directory via SRM. All calls to this team should be a warm transfer to help maximize the customer experience."," The ARS Retention Transfer Process is a process for transferring customers to the retention team. To transfer a customer to the retention team, you can use the Retention transfer number provided. GPC 017/Mercer
Send calls to Mercer at 800-999-6642. The Retention Team is not authorized to service Mercer policies.
You can also use the internal phone directory via SRM. All calls to this team should be a warm transfer to help maximize the customer experience.",kaD4T000000bvqLUAQ,"kaD4T000000bvqLUAQ
kaD4T000000PJetUAG",Fail,"Wrong Summarization within Article; Picked right section to answer. 6th, 7th and 8th points are from diff article kaD4T000000PJetUAG, not related to the topic",FWS,foobar,"[('kaD4T000000bvqLUAQ', 4.0), ('kaD4T000000PJetUAG', 0.3333333333333333)]","[('kaD4T000000bvqLUAQ', 5.0), ('kaD4T000000PMTyUAO', 2.0), ('kaD4T000000Xk2LUAS', 0.9166666666666665), ('kaD4T000000PJetUAG', 0.7833333333333333), ('kaD4T000000XetzUAC', 0.5)]"
Is there an Issue with Hawaii Renewal Premiums?,"An issue was identified for the HI PSP to PSP renewals. 

An incorrect premium has been reflected in previous policy documents due to an incorrect tier that has been assigned to the renewal.  

The company has identified approximately 400 active policies and 65 cancelled policies that were impacted. Emails are being sent letting insureds know the wrong information was received. wrong information. 
 
	Example email:
 
The company is working to correct the error (mid-term) and apply the premium credit/refund. Revised policy documents will be sent shortly showing the correct premium. 

Policies will be updated with an automated comment:  HI Premium Renewal Issue. See Broadcast #HI-56.
 
Note: Active policies are being corrected first, then cancelled policies will be addressed.
 
Suggested Scripting:
 A review of your policy resulted in an adjustment to correct your policy premium. We apologize for any inconvenience this may have caused."," Yes, there is an issue with Hawaii renewal premiums. An incorrect premium was reflected in the Renewal Packet and a hold has been placed on future renewals. The company is identifying the impacted policies and sending an email letting insureds know the wrong information was sent. The company is working to correct the error and expect the premium could decrease and will send revised policy documents shortly showing the correct premium. Policies will be updated with an automated comment: HI Premium Renewal Issue. See Broadcast #HI-56",kaD4T000000PL2SUAW,kaD4T000000PL2SUAW,Partial Pass,Incomplete Answer; Skipped 2 points from the Article,Farmers HI,foobar,"[('kaD4T000000PL2SUAW', 2.0)]","[('kaD4T000000PL2SUAW', 2.0), ('kaD4T000000PKqvUAG', 0.8333333333333333), ('kaD4T000000PHFcUAO', 0.8333333333333333), ('kaD4T000000H5AOUA0', 0.25), ('kaD4T000000PKrKUAW', 0.25)]"
